ManchesterUnited.csv 	 Player 	 10461 	 0.0
ManchesterUnited.csv 	 Player 	 11081 	 0.0
ManchesterUnited.csv 	 Player 	 11422 	 0.0
ManchesterUnited.csv 	 Player 	 116 	 0.0
ManchesterUnited.csv 	 Player 	 12545 	 0.0
ManchesterUnited.csv 	 Player 	 1313 	 0.0
ManchesterUnited.csv 	 Player 	 132 	 1.0
ManchesterUnited.csv 	 Player 	 211 	 1.0
ManchesterUnited.csv 	 Player 	 250 	 0.0
ManchesterUnited.csv 	 Player 	 254 	 1.0
ManchesterUnited.csv 	 Player 	 2561 	 0.0
ManchesterUnited.csv 	 Player 	 3 	 1.0
ManchesterUnited.csv 	 Player 	 319 	 0.0
ManchesterUnited.csv 	 Player 	 327 	 1.0
ManchesterUnited.csv 	 Player 	 3451 	 0.0
ManchesterUnited.csv 	 Player 	 374 	 0.0
ManchesterUnited.csv 	 Player 	 377 	 1.0
ManchesterUnited.csv 	 Player 	 399 	 0.0
ManchesterUnited.csv 	 Player 	 45 	 1.0
ManchesterUnited.csv 	 Player 	 4513 	 0.0
ManchesterUnited.csv 	 Player 	 454 	 1.0
ManchesterUnited.csv 	 Player 	 47 	 1.0
ManchesterUnited.csv 	 Player 	 526 	 0.0
ManchesterUnited.csv 	 Player 	 584 	 0.0
ManchesterUnited.csv 	 Player 	 629 	 0.0
ManchesterUnited.csv 	 Player 	 654 	 0.0
ManchesterUnited.csv 	 Player 	 700 	 0.0
ManchesterUnited.csv 	 Player 	 717 	 1.0
ManchesterUnited.csv 	 Player 	 807 	 0.0
ManchesterUnited.csv 	 Player 	 8191 	 0.0
ManchesterUnited.csv 	 Player 	 93 	 1.0
NewcastleUnited.csv 	 Player 	 11206 	 0.0
NewcastleUnited.csv 	 Player 	 11426 	 0.0
NewcastleUnited.csv 	 Player 	 1203 	 0.0
NewcastleUnited.csv 	 Player 	 12178 	 0.0
NewcastleUnited.csv 	 Player 	 1256 	 0.0
NewcastleUnited.csv 	 Player 	 1295 	 1.0
NewcastleUnited.csv 	 Player 	 1339 	 1.0
NewcastleUnited.csv 	 Player 	 1344 	 1.0
NewcastleUnited.csv 	 Player 	 1372 	 1.0
NewcastleUnited.csv 	 Player 	 13969 	 0.0
NewcastleUnited.csv 	 Player 	 13995 	 0.0
NewcastleUnited.csv 	 Player 	 1547 	 1.0
NewcastleUnited.csv 	 Player 	 16347 	 0.0
NewcastleUnited.csv 	 Player 	 16471 	 0.0
NewcastleUnited.csv 	 Player 	 16743 	 0.0
NewcastleUnited.csv 	 Player 	 1706 	 0.0
NewcastleUnited.csv 	 Player 	 17143 	 0.0
NewcastleUnited.csv 	 Player 	 1831 	 0.0
NewcastleUnited.csv 	 Player 	 1858 	 0.0
NewcastleUnited.csv 	 Player 	 2114 	 0.0
NewcastleUnited.csv 	 Player 	 2129 	 0.0
NewcastleUnited.csv 	 Player 	 2150 	 0.0
NewcastleUnited.csv 	 Player 	 2718 	 0.0
NewcastleUnited.csv 	 Player 	 3224 	 0.0
NewcastleUnited.csv 	 Player 	 3330 	 0.0
NewcastleUnited.csv 	 Player 	 3947 	 0.0
NewcastleUnited.csv 	 Player 	 768 	 1.0
NewcastleUnited.csv 	 Player 	 8004 	 0.0
NewcastleUnited.csv 	 Player 	 830 	 1.0
NewcastleUnited.csv 	 Player 	 850 	 1.0
NewcastleUnited.csv 	 Player 	 884 	 1.0
NewcastleUnited.csv 	 Player 	 927 	 1.0
NewcastleUnited.csv 	 Player 	 970 	 1.0
Southampton.csv 	 Player 	 1001 	 1.0
